text,label
"This creepy ghost story will give you nightmares forever",horror
"Paranormal activity caught on camera at 3AM scary footage",horror
"Jumpscare compilation that will terrify you - EXTREME WARNING",horror
"Haunted house investigation real ghost encounter",horror
"Creepypasta reading scary stories that happened to me",horror
"Horror movie trailer psychological thriller disturbing scenes",horror
"Scary clown sighting paranormal investigation",horror
"Monster in my basement real footage caught on tape",horror
"Best chocolate cake recipe easy baking tutorial",safe
"How to learn Python programming for beginners",safe
"Beautiful sunset timelapse nature documentary",safe
"Math tutorial algebra equations explained simply",safe
"Cute puppies playing in the park adorable compilation",safe
"Gardening tips for growing tomatoes at home",safe
"Travel vlog exploring Paris top tourist attractions",safe
"Yoga for beginners morning stretching routine",safe
"Horror game walkthrough jumpscares reaction",horror
"Real life paranormal experiences scary true stories",horror
"Creepy abandoned building exploration urban exploration",horror
"Scary movie recommendations horror films ranked",horror
"DIY home improvement painting walls tutorial",safe
"Cooking show Italian pasta recipe demonstration",safe
"Music theory lesson understanding chord progressions",safe
"Product review smartphone unboxing and features",safe
"Educational documentary about ocean life marine biology",safe
"Fitness workout routine cardio exercises at home",safe
"Ghost hunting equipment paranormal investigation tools",horror
"True crime scary mystery unsolved case discussion",horror
"Horror makeup tutorial special effects zombie",horror
"Dark web exploration scary internet mysteries",horror
"Science experiment chemistry reactions for kids",safe
"Book review fiction novel recommendations",safe
"History lesson world war two documentary",safe
"Language learning Spanish vocabulary for beginners",safe
"Drawing tutorial digital art techniques explained",safe
"Meditation guide relaxation techniques stress relief",safe
"Scary elevator game ritual paranormal challenge",horror
"Haunted doll moves by itself caught on camera",horror
"Creepy phone call recording mysterious voice",horror
"Horror animation scary short film indie",horror
"Podcast interview entrepreneur business tips",safe
"Photography tutorial landscape composition guide",safe
"Car review electric vehicle test drive",safe
"Home organization decluttering tips minimalist lifestyle",safe
"Pet care guide training your dog basic commands",safe
"Wildlife documentary lions in the savanna",safe
"This will haunt you forever terrifying experience",horror
"Scary sounds in the woods at night investigation",horror
"Urban legend analysis creepy folklore stories",horror
"Horror short stories narration disturbing tales",horror
"Knitting tutorial beginner friendly scarf pattern",safe
"Economic news market analysis stock updates",safe
"Comedy sketch funny skit hilarious moments",safe
"Fashion haul trying on new clothes style tips",safe
"Gaming stream casual gameplay commentary",safe
"Astronomy lesson planets in the solar system",safe
