text,label
"YOU MUST WATCH THIS NOW or you'll regret it forever",manipulative
"Don't miss out FOMO alert everyone is doing this",manipulative
"Click here NOW limited time only hurry up",manipulative
"Mr Beast challenge last to leave wins million dollars",manipulative
"Influencer drama you won't believe what happened",manipulative
"Tutorial on how to change a tire step by step",safe
"News update local community event this weekend",safe
"Educational content about climate change science",safe
"Clickbait thumbnail screaming face arrows everywhere",manipulative
"Parasocial content I love you guys you're my family",manipulative
"FOMO trigger only 10 spots left sign up now",manipulative
"Recipe video easy dinner ideas for busy families",safe
"Book recommendations for summer reading list",safe
"Workout routine for beginners no equipment needed",safe
"Creator manipulation tactics subscribe or I'll be sad",manipulative
"YouTube drama exposed calling out another creator",manipulative
"Must watch viral trend everyone is talking about",manipulative
"Documentary about ancient civilizations history lesson",safe
"Product review honest opinion pros and cons",safe
"Music playlist relaxing songs for studying",safe
"Influencer stunt dangerous challenge for views",manipulative
"Dependency building content I need you to support me",manipulative
"Clickbait title GONE WRONG emotional reaction",manipulative
"Weather forecast this week rain expected Tuesday",safe
"Interview with expert discussing industry trends",safe
"Travel guide top destinations to visit in Europe",safe
"Emotional manipulation if you don't share I'll cry",manipulative
"Parasocial parasite content treating fans like ATM",manipulative
"FOMO marketing join now before it's too late",manipulative
"How-to guide fixing common household problems",safe
"Science experiment demonstration fun learning activity",safe
"Art tutorial painting techniques for watercolor",safe
"Like and subscribe or else algorithm will hurt me",manipulative
"Drama stirring beef with other YouTubers for clout",manipulative
"Screen time encouragement binge watch all my videos",manipulative
"Informational video explaining tax filing process",safe
"Sports highlights from last night's game recap",safe
"Language learning tips studying Spanish vocabulary",safe
"Must click thumbnail crazy story time reaction",manipulative
"Parasocial relationship fans are my best friends",manipulative
"Urgency scarcity tactics only today special offer",manipulative
"Gardening advice growing vegetables in small spaces",safe
"Financial literacy budgeting tips for students",safe
"Pet care information training your cat basics",safe
"FOMO inducing everyone else got this why not you",manipulative
"Creator stunt fake prank staged for engagement",manipulative
"Clickbait promise shocking reveal at the end",manipulative
"Movie review spoiler-free thoughts on new release",safe
"Photography tips composition rules for beginners",safe
"Cooking show healthy meal prep for the week",safe
"Dependency tactics I can't do this without you fans",manipulative
"Manufactured drama fake feud with another channel",manipulative
"Excessive engagement bait comment below or you're fake fan",manipulative
"Educational series part 3 continuing the lesson",safe
"News analysis balanced perspective current events",safe
"Meditation guide mindfulness breathing exercises",safe
