text,label
"You're so ugly and worthless nobody likes you",bullying
"What a slut look at what she's wearing shameful",bullying
"You're too fat to wear that outfit disgusting",bullying
"Nice outfit I love your style looks great",safe
"Your presentation was really well done congrats",safe
"Thanks for sharing this helpful post",safe
"Body shaming comments your legs are too skinny",bullying
"Stop harassing me with these insults leave me alone",bullying
"You have no friends because you're annoying",bullying
"Great job on your project team effort",safe
"Beautiful photo the lighting is perfect",safe
"Interesting perspective I learned something new",safe
"Slut shaming her for being in a relationship",bullying
"Your hair looks terrible did you even try",bullying
"Nobody wants to hear from you shut up",bullying
"Appreciate your honesty thank you for sharing",safe
"This recipe looks delicious can't wait to try",safe
"Your artwork is amazing so talented",safe
"Kill yourself loser nobody cares about you",bullying
"You dress like a whore attention seeker",bullying
"Your face is so ugly please stop posting",bullying
"Love this content keep up the good work",safe
"Helpful tutorial very clear instructions",safe
"Inspiring message needed to hear this today",safe
"You're too stupid to understand basic concepts",bullying
"Appearance insults your nose is too big",bullying
"Everyone hates you why do you even exist",bullying
"Thanks for the advice really appreciate it",safe
"Cool video enjoyed watching this",safe
"Well said I completely agree with you",safe
"Sexual insults about clothing dress more modestly slut",bullying
"Body shaming comment lose some weight fatty",bullying
"Cyber harassment stalking your profile creep",bullying
"Great question thanks for asking",safe
"Supportive comment you can do this",safe
"Positive feedback excellent work friend",safe
"Bullying about appearance your teeth are disgusting",bullying
"Harassing messages won't leave me alone",bullying
"Discrimination slurs offensive hate speech",bullying
"Constructive criticism could improve by trying",safe
"Encouraging words believe in yourself",safe
"Friendly comment nice to meet you",safe
"LGBTQ slurs used to bully disgusting f*g",bullying
"Body shaming pressure your arms are too muscular",bullying
"Insulting intelligence you're too dumb for school",bullying
"Respectful disagreement I see your point but",safe
"Compliment your smile is beautiful",safe
"Appreciation thank you for your help",safe
"Shaming for clothing choices too revealing dress code",bullying
"Harassment about weight anorexic eat something",bullying
"Bullying about interests your hobbies are lame",bullying
"Polite response I understand your concern",safe
"Congratulations message well deserved success",safe
"Kind words you're doing great keep going",safe
