,Curriculum Outline: Pilot Project using Avatars ,,
,Session 1,Theme: Introduction at Avatar's house,Social Circle: Close Family
,Basic Flow,Student Participation ,Goals Identified
,Avatar Introduces himself (3 features),Students Introduce themselves,Basic conversation skills
,Avatar talks about things he likes to do in his free time,"Students share their interests, educator asks to find common likes and dislikes",Positive Peer Interaction + Finding common interests 
,Avatar introduces his family + what he likes to do with them ,"Students participate in the discussion: Raise your hand if:
- How many of you have siblings
- How many of you have older/younger siblings
- How many of you have a pet ",Building a rapport 
,Ice breakers activity depending on learners,Dance Off/ Sing Along/Other Interactive game ,"Identifying baseline- Recognition of emotions, building a rapport "
,,,
,Session 2,Theme: Avatar goes to a birthday party ,Social Circle: Friends 
,Basic Flow,Student Participation ,Goals Identified
,"Avatar is excited to meet his friends A, B, C","Identify 2 or 3 of their friends: How do they know each each other, what do you like doing together? ",Create Baseline for Rules of Interaction with social circle 
,Avatar seeks help in choosing a present,"Identifying interests, likes and matching it with a relevant gift",Theory of mind
,Avatar seeks help in making a birthday card,How can we express our feelings towards our friends?,Meaningful Communication + Emotions
,Avatar goes to the birthday party,Greeting people at the party,Rules of interaction with social circle 
,,Which activity should the avatar participate in? How does he feel included?,Meaningful Communication + Positive Peer interaction + Finding common interests 
,Avatar consoles a friend who is feeling bad for being left out,Discuss: How can we console people when they are upset? ,"Dealing with a negative emotion: sadness, meaningful conversation "
,,,
,Session 3,Theme: Avatar goes to a Grocery Store,Social Circle: Acquaintances 
,Basic Flow,Student Participation ,Goals Identified
,Avatar is Overwhelmed/Scared to go to the supermarket,Discuss: How can we be better prepared for situations like shopping?,"Identifying negative feeling, dealing with a negative emotion: anxiety "
,Avatar works on a list,Students participate by working on lists provided to them ,Planning- Cognitive Skills
,Avatar prepares to go to the store ,"Students discuss what all we need before we go: Shopping bag, masks, etc",Planning- Cognitive Skills
,Avatar at the shop needs help with finding items,"Students help with: Finding the right aisle 
- Checking Quantity, Price
- Finding a substitute ",Cognitive Skills
,Avatar asks for help,Discuss: How should we speak with the Supermarket staff ,Rules of interaction with staff 
,Billing,"Students discuss payment modes, getting the right change, receiving a bill",Rules of interaction at a grocery store + Money concepts 
,Avatar meets elderly neighbourhood lady ,Discuss: How can we interact with our neighbour? Can we offer help? ,Rules of interaction with social circle 
,Getting home safely ,,
,,,
,Session 4,Theme: Avatar goes to the Doctor,"Social Circle: Family, Public Services "
,Basic Flow,Student Participation ,Goals Identified
,"Avatar is experiencing discomfort- ""I'm not feeling well""","Practice with students: How to ask questions? 
- What happened Kikof?
- Where is it hurting you?
- How did you get sick? ",Dealing with a negative emotion: pain + meaningful conversation 
,Avatar explains his stomach is hurting and he is not able to stand or do his homework ,"Practice with students: Helping someone who is sick
- Get some rest! Maybe you should lie down
- Do you want to take some medicine? 
- Is it hurting a lot? Maybe we should go to a doctor ",Essential Life skills + Meaningful conversation + Planning (Cognitive Functioning)
,Avatar tries to rest but isn't feeling good at all,"Practice with students: Helping someone who is sick
- Calling Parent
- Suggest going to a doctor",
,Avatar wishes to make an appointment with a doctor ,"Practice with students: Making an appointment 
- Identifying a clinic
- Make an appointment for an emergency 
- Checking if we can make it in time for the appointment: Give two options available ",
,Avatar goes to the clinic,"Practice with students: What happens at the clinic 
- Reception, Waiting area, Interaction with Nurse, Doctor ",Essential Life skills + Meaningful conversation + Planning (Cognitive Functioning)
,Avatar wishes to buy medicinces ,"Practice with the students: Purchasing medicines 
- Concept of a pharmacy, prescription
- Billing",
,"Avatar comes back home, brother is having a burger",Practice with students: Getting Rest + Staying Healthy ,
,Avatar goes to his room to rest ,"What can we say to kikof because he is sick? 
- Get well soon?
- How can i help you?",
,Avatar wakes up from a nightmare,How can we console someone who is scared?,
,,,
,Session 5,Theme: Avatar gets lost in a park,"Social Circle: Strangers,  Public Services "
,Basic Flow,Student Participation ,Goals Identified
,Avatar decides what to do this Weekend,"What goes into making a decision? : Weather Conditions, what we feel like doing",Planning: Cognitive Skills
,Avatar is excited for his walk in the park ,"What goes into making a decision? : Weather Conditions, what we feel like doing",Planning: Cognitive Skills
,"A boy approaches the avatar for a conversation, he has a bag + map (identifying a tourist)",Practice with students: How can the avatar help the tourist find his way?,Create Baseline for Rules of Interaction with social circle 
,"Avatar wishes to get an ice cream, two stalls: one is crowded, one doesn't have any of his favourite flavours. Avatar is frustrated ","Practice with students: How can avatar feel calm in this situation? 
- How can the avatar make a decision in this case?",Planning- Cognitive Skills + Dealing with a negative emotion: Frustration 
,Avatar realises he is lost ,Practice with students: How can he keep calm? ,Dealing with a negative emotion: panic
,"Avatar encounters a stranger, who offers to help ","Practice with students: Should the avatar seek help from strangers?
Should the avatar try to find a police officer",Essential Life skills + Meaningful conversation + Rules of interaction with a stranger 
,Avatar interacts with traffic police officer,"Practice with students: What all information should we tell the officer? 
- Contacting your parent/guardian",Essential Life skills + Meaningful conversation + Planning (Cognitive Functioning)
,Avatar is able to safely go home and relax,Fun activity with students to unwind ,Rapport building
