file,type,description,size_estimate
emoji_avatar_engine.py,python,Main 2.5D rendering engine,25KB
emoji_web_customizer/pages/index.jsx,react,Web app main page,8KB
emoji_web_customizer/components/Customizer.jsx,react,Customization controls,7KB
emoji_web_customizer/api/render_stub.js,node,API server stub,5KB
emoji_mobile_customizer/App.js,react-native,Mobile app main,8KB
emoji_mobile_customizer/components/CustomizerNative.js,react-native,Mobile controls,5KB
dashboard_demo/app.py,streamlit,Guardian dashboard,5KB
dashboard_demo/report_generator.py,python,Report generation,3KB
assets/hair_accessories.json,json,Asset configuration,2KB
scripts/setup_env.sh,bash,Environment setup,1KB
scripts/run_batch_render.sh,bash,Batch rendering,1KB
sample_data/sample_session.json,json,Sample session data,2KB
