Category,Content_Type,Use_Case_KomalKids,Dataset_Links,NLP_Prompt,Vision_AI_Prompt,Audio_Prompt,Schema,,,,,,,
1. Violence & Disturbing Content,Graphic violence,"Detect visual violence, gore, blood, dismemberment in real-time video frames for age-appropriate gating (<10 Block, 10-13 Gate, 16+ Gate)",https://kaggle.com/datasets/mohamedmustafa/real-life-violence-situations-dataset,"Classify this page for graphic, real-world violence (blood, gore, severe injury, executions, torture, war footage). Treat stylized/cartoon but gory scenes as graphic if the main intent is shock or horror. Distinguish real CCTV or news scenes from fictional movies but keep <10 and 10-13 as BLOCK or strong GATE whenever graphic gore appears. For glorification: lower safety; for news reporting: moderate safety. Detect weapons, dismemberment, execution methods, torture devices. Output the standard JSON schema with all fields filled.","On these frames, detect blood, exposed organs, dismemberment, dead bodies, executions, torture, and close-ups of severe injury. Treat horror-movie gore and real violence similarly for children. News watermarks do not make gore safer. Identify context: news/documentary vs glorifying/entertainment. Set <10 and 10-13 to BLOCK; 13-16 and 16+ to GATE based on intent and detail level. Flag extremism/terrorism imagery separately. Output the standard visual JSON schema.","From transcript, detect descriptions or sounds of graphic violence (screams, torture descriptions, executions, war crimes, detailed injury descriptions). Differentiate neutral news narration from glorifying or entertainment-oriented descriptions. Detect audio signatures: gunshots, explosions, screams, torture sounds. Assess intensity and intent. For educational/news context lower the score; for glorifying raise it. Fill the standard audio JSON schema with age actions accordingly.","{""overall_safety_score"":0,""language_safety_score"":0,""visual_safety_score"":0,""audio_safety_score"":0,""age_actions"":{""<10"":{""action"":""BLOCK"",""score"":0},""10-13"":{""action"":""BLOCK"",""score"":0},""13-16"":{""action"":""GATE"",""score"":0},""16+"":{""action"":""GATE"",""score"":0}},""context_type"":"""",""topic_tags"":[""violence"",""gore""],""harm_flag"":{""self_harm"":false,""suicide"":false,""eating_disorder"":false,""body_anxiety"":false,""extremism"":false,""fraud_or_scam"":false,""grooming_or_sexual_exploitation"":false}}",,,,,,,
5. Media & Platform-Native Risks,"AI-generated content (deepfakes, synthetic media)","Detect deepfakes, synthetic media, deceptive AI-generated content",https://github.com/saakshigupta/deepfake-detection-dataset,"Classify AI-generated content (deepfakes, synthetic media, ChatGPT text, AI images). Detect manipulation, misinformation, deceptive content, synthetic explicit media. Distinguish artistic/educational AI use from fraudulent or deceptive applications. Block minors when deceptive or manipulative; allow informed adults. Output JSON.","Detect deepfake indicators, synthetic face morphing, AI-generated anatomy, obvious AI artifacts. Identify deceptive use cases. Mark explicit AI-synthetic content. Output visual JSON.","Detect AI-generated speech, synthetic voices, deepfake audio, manipulation claims. Assess deceptive intent. Block minors when deceptive; provide context warnings for adults. Fill audio JSON.","{""overall_safety_score"":0,""age_actions"":{""<10"":{""action"":""BLOCK"",""score"":0},""10-13"":{""action"":""BLOCK"",""score"":0},""13-16"":{""action"":""GATE"",""score"":0},""16+"":{""action"":""GATE"",""score"":0}},""context_type"":"""",""topic_tags"":[""AI_generated"",""deepfake"",""synthetic_media""]}",,,,,,,
6. Social & Cultural Topics,"LGBTQ+ identity and support (pride, coming-out, anti-bullying)",Distinguish identity education from fetishization or hate,https://hatespeechdata.com,"Precisely distinguish LGBTQ+ identity/support from hate, slurs, or fetishization. Classify identity: coming-out stories, rights, anti-bullying. Education: factual orientation/gender identity info. Hate: dehumanizing, calls for violence. Fetishization: LGBTQ+ only in porn. For <13 Gate explicit sexual but not identity education. Always heavily penalize hate. Output JSON with lgbtq_flag.","Detect pride flags, protests, symbols vs fetish scenes or hate. Identity/activism parades are safe. Explicit/BDSM or nudity is fetish. Violence/vandalism is hate. Age-gate by explicitness, not identity. Output visual JSON.","Separate supportive/educational from hate, slurs, fetish talk. Supportive gets higher safety if no explicit sexual content. Hate or calls for violence always high-risk. Explicit sexual focus is fetishization. Fill audio JSON.","{""overall_safety_score"":0,""age_actions"":{""<10"":{""action"":""GATE"",""score"":0},""10-13"":{""action"":""ALLOW"",""score"":0},""13-16"":{""action"":""ALLOW"",""score"":0},""16+"":{""action"":""ALLOW"",""score"":0}},""topic_tags"":[""LGBTQ+"",""identity"",""social""],""lgbtq_flag"":{""present"":true,""type"":""identity""}}",,,,,,,
1. Violence & Disturbing Content,Crime / news footage,Detect crime reporting vs glorification for news literacy,https://www.kaggle.com/datasets/emineyetm/fake-news-detection-datasets,"Classify crime and news reporting pages (robbery, shootings, arrests). Distinguish neutral reporting from glorification or how-to crime content. Treat news style as safer but still Gate younger kids when crime is severe. Detect news keywords, location reporting, factual crime descriptions. Output JSON.","Detect news studio layouts, lower-third banners, reporters on scene, police cars, crime scenes. Treat news reporting as safer than glorifying crime but still apply GATE for <13 if weapons or injuries are shown. Output visual JSON.","From transcripts, detect newsreader style, police briefings, versus crime fan-channels glorifying or teaching crime. Tag context as news vs glorification and age-gate accordingly in audio JSON.","{""overall_safety_score"":0,""language_safety_score"":0,""visual_safety_score"":0,""age_actions"":{""<10"":{""action"":""BLOCK"",""score"":0},""10-13"":{""action"":""GATE"",""score"":0},""13-16"":{""action"":""GATE"",""score"":0},""16+"":{""action"":""ALLOW"",""score"":0}},""context_type"":""news"",""topic_tags"":[""crime"",""news"",""reporting""]}",,,,,,,
,,,,,,,,,,,,,,
4. Financial & Commercial Content,"Speculative finance (pump-and-dump, crypto hype)",Detect investment fraud and unregulated financial advice,https://www.kaggle.com/datasets/sriharshaeedala/financial-fraud-detection-dataset,"Classify speculative finance (pump-and-dump schemes, crypto hype, high-risk trading, forex). Detect investment advice lacking proper disclaimers, guaranteed return promises, insider tips, and schemes targeting retail traders. Block all minors; Gate teens when risk is high. Flag as fraud/scam potential. Output JSON.","Detect financial charts, crypto/forex UIs, trading dashboards, suspicious testimonials, luxury lifestyle imagery used to promote financial schemes. Identify marketing designed to exploit FOMO or greed. Mark as fraud/scam potential. Output visual JSON.","Detect investment pitches, guaranteed return claims, insider trading tips, crypto hype, trading advice lacking disclaimers. Flag language that exploits FOMO or lack of financial literacy. Block minors; Flag fraud risk. Fill audio JSON.","{""overall_safety_score"":0,""age_actions"":{""<10"":{""action"":""BLOCK"",""score"":0},""10-13"":{""action"":""BLOCK"",""score"":0},""13-16"":{""action"":""GATE"",""score"":0},""16+"":{""action"":""GATE"",""score"":0}},""context_type"":""speculative_finance"",""topic_tags"":[""finance"",""fraud"",""pump_dump""],""harm_flag"":{""fraud_or_scam"":true}}",,,,,,,
6. Social & Cultural Topics,"Bullying & cyberbullying (body-shaming, indecent speech)","Detect sexual harassment, bullying, shame-based attacks",https://www.kaggle.com/datasets/mrmorj/hate-speech-and-offensive-language-dataset,"Focus on bullying, slut-shaming, sexual insults about clothing or appearance, and harassment. Detect body-shaming, sexualized insults, pressure to dress certain ways. Heavily penalize hate or discrimination, including LGBTQ+ slurs used to bully. Age-gate children and teens accordingly. Output JSON.","Detect images where clothing is mocked or over-sexualized, combined with text overlays or comments that bully the subject. Distinguish fashion/swimwear from humiliation or harassment context. Fill visual JSON with bullying / body-anxiety markers.","Detect spoken cyberbullying, slut-shaming, insults about clothing or body. Capture direct quotes for risky phrases. Treat repeated bullying and harassment as high-risk for all minors. Fill audio JSON.","{""overall_safety_score"":0,""language_safety_score"":0,""visual_safety_score"":0,""age_actions"":{""<10"":{""action"":""BLOCK"",""score"":0},""10-13"":{""action"":""GATE"",""score"":0},""13-16"":{""action"":""GATE"",""score"":0},""16+"":{""action"":""ALLOW"",""score"":0}},""context_type"":"""",""topic_tags"":[""bullying"",""cyberbullying"",""body_shaming""],""harm_flag"":{""body_anxiety"":true}}",,,,,,,
1. Violence & Disturbing Content,Horror / paranormal / jumpscares,Content safety for kids - Restrict horror content,https://github.com/PRITHIVSAKTHIUR/nsfw-image-detection,"Detect horror content, paranormal stories, creepypasta narratives","Detect horror visual cues: dark scenes, monsters, ghosts, sudden close-ups","Detect scary sound design, screams, whispers, horror narration","{""overall_safety_score"":0,""age_actions"":{""<10"":{""action"":""BLOCK""},""10-13"":{""action"":""GATE""},""13-16"":{""action"":""GATE""},""16+"":{""action"":""GATE""}}}2. Explicit & Body-Related Content","Sexual education (medical, educational)",Educational health content - age-appropriate sex ed,https://github.com/PRITHIVSAKTHIUR/nsfw-image-detection,"Detect sex-education context, clinical vocabulary, health topics",Differentiate medical diagrams from pornographic content,"Detect educational tone from doctors, teachers explaining health","{""overall_safety_score"":0,""age_actions"":{""<10"":{""action"":""BLOCK""},""10-13"":{""action"":""GATE""},""13-16"":{""action"":""GATE""},""16+"":{""action"":""GATE""}}}"
,,,,,,,,,,,,,,
4. Financial & Commercial Content,Subscription / purchase pages,Dark patterns prevention - restrict predatory design,https://www.kaggle.com/datasets/dark-patterns-dataset,"Detect aggressive upselling, auto-renewal traps, hidden cancellation","Detect purchase flow dark patterns, limited-time pressure visuals",Detect predatory purchase prompts and pressure language,"{""overall_safety_score"":0,""age_actions"":{""<10"":{""action"":""BLOCK""},""10-13"":{""action"":""GATE""},""13-16"":{""action"":""GATE""},""16+"":{""action"":""ALLOW""}}}",,,,,,,
6. Social & Cultural Topics,Guns & weapons,Weapon safety - distinguish education from glorification,https://www.kaggle.com/datasets/weapons-dataset,"Detect weapon terminology, safety training vs threats","Detect firearms, explosives, weapons in context",Detect weapon-related threats and training language,"{""overall_safety_score"":0,""age_actions"":{""<10"":{""action"":""BLOCK""},""10-13"":{""action"":""BLOCK""},""13-16"":{""action"":""GATE""},""16+"":{""action"":""ALLOW""}}}",,,,,,,
