text,label
"Buy this crypto now guaranteed 1000x returns",risky
"Stock tip insider information act fast",risky
"Forex trading strategy make millions overnight",risky
"Investment pitch no risk high reward opportunity",risky
"Crypto recommendation pump and dump scheme",risky
"General overview of stock market how it works",safe
"Educational content about retirement planning 401k basics",safe
"Financial literacy understanding credit scores",safe
"Unregulated financial advice trust me I'm rich",risky
"Trading advice without disclaimers follow my plays",risky
"Get rich quick scheme investment opportunity",risky
"Banking tutorial how to open savings account",safe
"Budgeting tips saving money on groceries",safe
"Economic news Federal Reserve interest rate decision",safe
"Stock tips no credentials just my opinion",risky
"Professional lacking advice from random influencer",risky
"High-risk forex trading leverage 100x gains",risky
"Consumer advice comparing credit card options",safe
"Tax filing guide deductions for homeowners",safe
"Personal finance podcast managing debt wisely",safe
"Crypto tips buy the dip sell the peak easy",risky
"Investment lacking regulatory warnings unlicensed advisor",risky
"Trading course expensive masterclass questionable claims",risky
"Insurance explanation types of coverage explained",safe
"Mortgage guide first-time home buyer process",safe
"Investment basics diversification for beginners",safe
"Penny stock pump guaranteed to moon tomorrow",risky
"Unverified financial guru trust fund secrets revealed",risky
"Day trading advice quit your job trade full time",risky
"Estate planning wills and trusts overview",safe
"Financial planning for college tuition savings",safe
"Cryptocurrency basics blockchain technology explained",safe
"MLM scheme financial freedom join my team",risky
"No disclaimer investment advice DM for portfolio tips",risky
"Options trading risky bets without risk disclosure",risky
"Financial education compound interest explained",safe
"Career advice negotiating salary tips",safe
"Real estate investing educational fundamentals",safe
"Pump and dump alert buy now before it crashes",risky
"Unlicensed advisor giving stock recommendations",risky
"Gambling disguised as investing sports betting tips",risky
"Banking security protecting against fraud",safe
"Retirement calculator planning for future",safe
"Economics lesson supply and demand principles",safe
"Get rich quick crypto scheme Ponzi warning signs",risky
"Financial influence without credentials self-proclaimed expert",risky
"High-pressure sales investment you can't afford to miss",risky
"Financial wellness emergency fund importance",safe
"Small business accounting basics for entrepreneurs",safe
"Stock market history documentary crashes and recoveries",safe
"NFT investment hype buy jpegs make millions",risky
"Unregistered securities offering private investment opportunity",risky
"Forex scam robot trading guaranteed profits",risky
"Credit repair guide improving score legitimately",safe
"Financial goals setting SMART objectives",safe
"Investment philosophy Warren Buffett principles",safe
