script_name,category,purpose,key_techniques,dependencies
optuna_hpo_distributed.py,training,Distributed hyperparameter optimization,TPE sampler Hyperband pruning,optuna torch
train_emotion_classifier.py,training,7-emotion classifier training,MobileNetV3 transfer learning,torch torchvision
train_attention_model.py,training,Gaze-based attention scoring,LSTM MediaPipe landmarks,torch mediapipe
train_voice_confidence.py,training,Voice confidence estimation,OpenSMILE pitch analysis,librosa numpy
continual_fine_tuner.py,training,Online learning with drift detection,EWC KS drift tests,torch scipy
federated_aggregator.py,training,Privacy-preserving federated learning,FedAvg secure aggregation,torch numpy
curriculum_sampler.py,training,Curriculum learning sampling,Competence-based anti-curriculum,numpy
knowledge_distillation_trainer.py,compression,Teacher-student distillation,Soft targets temperature scaling,torch
dataset_ingestion.py,data,Raw data to feature store,Parquet validation,pandas pyarrow
audio_feature_extractor.py,data,Voice/audio feature extraction,MFCC spectral features,librosa numpy
video_frame_sampler.py,data,Smart frame extraction,Scene detection quality filter,opencv numpy
embedding_generator.py,data,Dense embedding generation,SentenceTransformers CLIP,transformers torch
multimodal_feature_fuser.py,data,Cross-modal fusion,Late fusion attention,torch numpy
synthetic_augmentor.py,data,Data augmentation,Mixup cutout spec augment,numpy torch
missing_data_extrapolate_service.py,data,Imputation service,Kalman Transformer hybrid,scipy torch
quantize_for_mobile.py,compression,8-bit quantization,TFLite INT8 calibration,tensorflow
onnx_exporter.py,compression,PyTorch to ONNX export,Operator fusing shape inference,torch onnx
prune_model.py,compression,Structured pruning,L1-unstructured magnitude,torch
sparse_embedding_compressor.py,compression,Embedding compression,Product quantization Huffman,numpy
on_device_pruner.py,compression,Online magnitude pruning,Sparsity scheduling,numpy
quant_profile_generator.py,compression,Calibration dataset generation,Representative sampling,numpy
batch_inference_service.py,inference,Batch predictions,Async GPU batching,torch asyncio
streaming_inference.py,inference,Real-time inference,WebSocket chunked audio,websockets torch
model_versioning_registry.py,inference,Model registry,Semantic versioning A/B support,json pathlib
ab_test_allocator.py,inference,Traffic splitting,Deterministic hashing gradual rollout,hashlib
edge_delegate_selector.py,inference,Hardware delegation,GPU NPU CPU selection,subprocess
lazy_model_loader.py,inference,Memory optimization,Shard-based LRU eviction,torch numpy
delta_ota_patcher.py,cost,Binary diff updates,bsdiff xdelta atomic swap,subprocess hashlib
model_diff_deployer.sh,cost,CI delta builder,Automated diff CDN upload,bash
embedding_cache_service.py,cost,LRU + LSH dedup cache,Locality-sensitive hashing,numpy
adaptive_fidelity_scheduler.py,cost,Dynamic FPS/resolution,Battery-aware throttling,time
spot_training_scheduler.py,cost,Spot instance training,Preemption checkpointing,boto3 torch
cheap_simulation_generator.py,cost,Procedural data generation,Perlin noise physics sim,numpy
fifo_upload_compressor.py,cost,Zstd encrypted upload,Compression encryption,zstandard cryptography
delta_checkpointing.py,cost,Incremental checkpoints,Delta storage xdelta,subprocess hashlib
warm_cache_prefetcher.py,cost,Predictive caching,Usage pattern prediction,numpy
low_power_inference_mode.py,cost,Energy budgeting,Power meter throttling,time
cdn_asset_optimizer.py,cost,Image optimization,WebP AVIF LQIP,PIL subprocess
delta_sync_client.py,cost,Rsync-like sync,Block hashing delta transfer,hashlib
batch_metrics_aggregator.py,cost,Telemetry batching,Aggregation compression,numpy zlib
cost_simulator_for_planning.py,cost,Infra cost modeling,Monte Carlo simulation,numpy
lite_model_ab_test.py,cost,Privacy-preserving A/B,Differential privacy,numpy hashlib
gradual_rollout_controller.py,cost,Cost-aware deployment,Threshold monitoring rollback,numpy
billing_and_quota_guard.py,cost,Spend monitoring,Auto-throttling alerts,requests
adaptive_model_resolution.py,cost,Complexity routing,Edge density texture analysis,numpy scipy
client_prefetch_policy_generator.py,cost,Per-device budgets,Battery network aware,json
cheap_validation_sampler.py,cost,Core-set selection,K-center herding,numpy
audit_and_autodelete_pipeline.py,security,Secure deletion,GDPR 3-pass overwrite,sqlite3 mmap
safe_retention_policy_enforcer.py,security,Data retention enforcement,Configurable policies,yaml sqlite3
session_validation_and_schema_enforcer.py,security,Schema validation,JSON Schema,jsonschema
secure_delete_kv_store.py,security,Redis secure delete,Memory-mapped overwrite,redis mmap
deletion_notification_and_compliance_report.py,security,Compliance reporting,HMAC signatures,hmac hashlib
robust_error_handling_patch.py,security,AST error injection,Try-catch wrapping,ast
imputation_confidence_calibrator.py,security,Uncertainty quantification,Isotonic Platt scaling,sklearn
supabase_aggregator_uploader.py,data,Privacy-preserving uploads,Consent age bucketing,supabase-py
