text,label_sexual,label_lgbtq,label_religious
"LGBTQ pride parade celebration diversity",0,1,0
"Coming out story personal experience queer identity",0,1,0
"Same-sex relationship cute couple goals",0,1,0
"Trans rights discussion gender identity politics",0,1,0
"Religious sermon Sunday worship service",0,0,1
"Prayer meeting faith gathering spiritual",0,0,1
"Scripture reading Bible study session",0,0,1
"Faith testimony personal religious experience",0,0,1
"Kissing scene in romantic movie PG-13",1,0,0
"Sexual education anatomy lesson appropriate",1,0,0
"Mature themes in film artistic expression",1,0,0
"Romantic comedy date night movie",1,0,0
"Cooking show recipe demonstration family friendly",0,0,0
"Sports highlights basketball game recap",0,0,0
"Nature documentary wildlife in Africa",0,0,0
"Math tutorial algebra for students",0,0,0
"Gay marriage equality discussion civil rights",0,1,0
"Lesbian couple vlog daily life content",0,1,0
"Queer history Stonewall riots documentary",0,1,0
"LGBTQ ally support pride month",0,1,0
"Religious hate speech extremist preaching",0,0,1
"Aggressive proselytizing forcing beliefs on others",0,0,1
"Faith-based discrimination religious intolerance",0,0,1
"Extremist sermon radical ideology",0,0,1
"Sexual content explicit adult material",1,0,0
"Intimate scenes HBO series mature audiences",1,0,0
"Romance novel discussion book club",1,0,0
"Dating advice relationship tips healthy",1,0,0
"Science experiment chemistry demonstration",0,0,0
"Travel vlog exploring new city",0,0,0
"Fitness workout home exercise routine",0,0,0
"Product review tech gadget unboxing",0,0,0
"Transgender journey transition story inspiring",0,1,0
"Bisexual representation in media discussion",0,1,0
"Non-binary identity pronoun explanation",0,1,0
"Pansexual pride acceptance message",0,1,0
"Christian worship music gospel songs",0,0,1
"Islamic call to prayer religious observance",0,0,1
"Jewish traditions Hanukkah celebration",0,0,1
"Buddhist meditation spiritual practice",0,0,1
"Gay pride event community gathering",0,1,0
"LGBTQ youth support resources help",0,1,0
"Queer film festival independent cinema",0,1,0
"Coming out advice support community",0,1,0
"Religious teaching moral lessons scripture",0,0,1
"Spiritual guidance faith counseling",0,0,1
"Church service live stream worship",0,0,1
"Religious holiday Christmas traditions",0,0,1
"Mature relationship discussion consent boundaries",1,0,0
"Sex education health class appropriate",1,0,0
"Romantic drama love story film",1,0,0
"Sexual health STD prevention information",1,0,0
"Educational video history lesson ancient Rome",0,0,0
"DIY craft project home decoration ideas",0,0,0
"Music video pop song dance performance",0,0,0
"Comedy sketch funny skit clean humor",0,0,0
"Rainbow flag LGBTQ symbol pride",0,1,0
"Gay rights movement activism advocacy",0,1,0
"Lesbian visibility representation matters",0,1,0
"Trans awareness education understanding",0,1,0
"Religious extremism hate violence calls",0,0,1
"Faith-based terrorism radical ideology",0,0,1
"Aggressive conversion tactics proselytizing children",0,0,1
"Religious minorities persecution discrimination",0,0,1
